"sseqid","entrezgene_id","function","external_gene_name"
"AT2G32950",817857,"Transducin/WD40 repeat-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817857]","COP1"
"AT2G32970",817859,"G1/S-specific cyclin-E protein [Source:NCBI gene (formerly Entrezgene);Acc:817859]","AT2G32970"
"AT2G32980",817860,"HAUS augmin-like complex subunit [Source:NCBI gene (formerly Entrezgene);Acc:817860]","AUG2"
"AT2G32990",817861,"glycosyl hydrolase 9B8 [Source:NCBI gene (formerly Entrezgene);Acc:817861]","GH9B8"
"AT2G33020",817864,"receptor like protein 24 [Source:NCBI gene (formerly Entrezgene);Acc:817864]","RLP24"
"AT2G33180",817879,"","AT2G33180"
"AT2G33260",817889,"Tryptophan/tyrosine permease [Source:NCBI gene (formerly Entrezgene);Acc:817889]","AT2G33260"
"AT2G33480",817913,"NAC domain containing protein 41 [Source:NCBI gene (formerly Entrezgene);Acc:817913]","NAC041"
"AT2G33810",817948,"squamosa promoter binding protein-like 3 [Source:NCBI gene (formerly Entrezgene);Acc:817948]","SPL3"
"AT2G33840",817952,"Tyrosyl-tRNA synthetase, class Ib, bacterial/mitochondrial [Source:NCBI gene (formerly Entrezgene);Acc:817952]","AT2G33840"
"AT2G33845",817953,"Nucleic acid-binding, OB-fold-like protein [Source:NCBI gene (formerly Entrezgene);Acc:817953]","AT2G33845"
"AT2G34750",818040,"RNA polymerase I specific transcription initiation factor RRN3 protein [Source:NCBI gene (formerly Entrezgene);Acc:818040]","AT2G34750"
"AT2G34830",818048,"WRKY DNA-binding protein 35 [Source:NCBI gene (formerly Entrezgene);Acc:818048]","WRKY35"
"AT2G34930",818058,"disease resistance family protein / LRR family protein [Source:NCBI gene (formerly Entrezgene);Acc:818058]","AT2G34930"
"AT2G35030",818067,"Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818067]","AT2G35030"
"AT2G35035",818068,"urease accessory protein D [Source:NCBI gene (formerly Entrezgene);Acc:818068]","URED"
"AT2G35040",818069,"AICARFT/IMPCHase bienzyme family protein [Source:NCBI gene (formerly Entrezgene);Acc:818069]","AT2G35040"
"AT2G35160",818083,"SU(VAR)3-9 homolog 5 [Source:NCBI gene (formerly Entrezgene);Acc:818083]","SUVH5"
"AT2G35900",818163,"Mal d 1-associated protein [Source:NCBI gene (formerly Entrezgene);Acc:818163]","AT2G35900"
"AT2G35920",818165,"RNA helicase family protein [Source:NCBI gene (formerly Entrezgene);Acc:818165]","AT2G35920"
"AT2G35930",818166,"plant U-box 23 [Source:NCBI gene (formerly Entrezgene);Acc:818166]","PUB23"
"AT2G36070",818180,"translocase inner membrane subunit 44-2 [Source:NCBI gene (formerly Entrezgene);Acc:818180]","TIM44-2"
"AT2G36080",818181,"AP2/B3-like transcriptional factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:818181]","ABS2"
"AT2G36090",818182,"F-box family protein [Source:NCBI gene (formerly Entrezgene);Acc:818182]","AT2G36090"
"AT2G36100",818183,"Uncharacterized protein family (UPF0497) [Source:NCBI gene (formerly Entrezgene);Acc:818183]","CASP1"
"AT2G36110",818184,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818184]","AT2G36110"
"AT2G36130",818186,"Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein [Source:NCBI gene (formerly Entrezgene);Acc:818186]","AT2G36130"
"AT2G36145",818187,"","AT2G36145"
"AT2G36200",818192,"P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818192]","AT2G36200"
"AT2G36250",818197,"Tubulin/FtsZ family protein [Source:NCBI gene (formerly Entrezgene);Acc:818197]","FTSZ2-1"
"AT2G36290",818200,"alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818200]","AT2G36290"
"AT2G36410",818215,"transcriptional activator (DUF662) [Source:NCBI gene (formerly Entrezgene);Acc:818215]","AT2G36410"
"AT2G36430",818217,"transmembrane protein, putative (DUF247) [Source:NCBI gene (formerly Entrezgene);Acc:818217]","AT2G36430"
"AT2G36450",818219,"Integrase-type DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818219]","HRD"
"AT2G36460",818220,"Aldolase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818220]","FBA6"
"AT2G36570",818230,"Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:818230]","AT2G36570"
"AT2G36580",818231,"Pyruvate kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:818231]","AT2G36580"
"AT2G36650",818237,"CHUP1-like protein [Source:NCBI gene (formerly Entrezgene);Acc:818237]","AT2G36650"
"AT2G36690",818241,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818241]","AT2G36690"
"AT2G36710",818243,"Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818243]","AT2G36710"
"AT2G36740",818246,"DNA binding protein SWC2 [Source:NCBI gene (formerly Entrezgene);Acc:818246]","SWC2"
"AT2G36810",818253,"ARM repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818253]","AT2G36810"
"AT2G36830",818255,"gamma tonoplast intrinsic protein [Source:NCBI gene (formerly Entrezgene);Acc:818255]","GAMMA-TIP"
"AT2G36895",818263,"D-tagatose-1,6-bisphosphate aldolase subunit [Source:NCBI gene (formerly Entrezgene);Acc:818263]","AT2G36895"
"AT2G36900",818264,"membrin 11 [Source:NCBI gene (formerly Entrezgene);Acc:818264]","MEMB11"
"AT2G36910",818265,"ATP binding cassette subfamily B1 [Source:NCBI gene (formerly Entrezgene);Acc:818265]","ABCB1"
"AT2G36990",818273,"RNApolymerase sigma-subunit F [Source:NCBI gene (formerly Entrezgene);Acc:818273]","SIGF"
"AT2G37025",818277,"TRF-like 8 [Source:NCBI gene (formerly Entrezgene);Acc:818277]","TRFL8"
"AT2G37050",818281,"Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:818281]","AT2G37050"
"AT2G37060",818282,"nuclear factor Y, subunit B8 [Source:NCBI gene (formerly Entrezgene);Acc:818282]","NF-YB8"
"AT2G37080",818284,"ROP interactive partner 3 [Source:NCBI gene (formerly Entrezgene);Acc:818284]","RIP2"
"AT2G37090",818285,"Nucleotide-diphospho-sugar transferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818285]","IRX9"
"AT2G37150",818291,"RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818291]","AT2G37150"
"AT2G37160",818292,"Transducin/WD40 repeat-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818292]","AT2G37160"
"AT2G37190",818295,"Ribosomal protein L11 family protein [Source:NCBI gene (formerly Entrezgene);Acc:818295]","AT2G37190"
"AT2G37195",818296,"acyl-CoA-binding domain protein [Source:NCBI gene (formerly Entrezgene);Acc:818296]","AT2G37195"
"AT2G37210",818298,"lysine decarboxylase family protein [Source:NCBI gene (formerly Entrezgene);Acc:818298]","LOG3"
"AT2G37220",818299,"RNA-binding (RRM/RBD/RNP motifs) family protein [Source:NCBI gene (formerly Entrezgene);Acc:818299]","AT2G37220"
"AT2G37240",818301,"Thioredoxin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818301]","AT2G37240"
"AT2G37250",818302,"adenosine kinase [Source:NCBI gene (formerly Entrezgene);Acc:818302]","ADK"
"AT2G37280",818305,"pleiotropic drug resistance 5 [Source:NCBI gene (formerly Entrezgene);Acc:818305]","ABCG33"
"AT2G37320",818309,"Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818309]","AT2G37320"
"AT2G37330",818310,"aluminum sensitive 3 [Source:NCBI gene (formerly Entrezgene);Acc:818310]","ALS3"
"AT2G37420",818318,"ATP binding microtubule motor family protein [Source:NCBI gene (formerly Entrezgene);Acc:818318]","AT2G37420"
"AT2G37440",818321,"DNAse I-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818321]","AT2G37440"
"AT2G37460",818323,"nodulin MtN21 /EamA-like transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:818323]","UMAMIT12"
"AT2G37480",818325,"","AT2G37480"
"AT2G37500",818326,"arginine biosynthesis protein ArgJ family [Source:NCBI gene (formerly Entrezgene);Acc:818326]","AT2G37500"
"AT2G37600",818337,"Ribosomal protein L36e family protein [Source:NCBI gene (formerly Entrezgene);Acc:818337]","AT2G37600"
"AT2G37630",818340,"myb-like HTH transcriptional regulator family protein [Source:NCBI gene (formerly Entrezgene);Acc:818340]","AS1"
"AT2G37650",818342,"GRAS family transcription factor [Source:NCBI gene (formerly Entrezgene);Acc:818342]","AT2G37650"
"AT2G37678",5007942,"far-red elongated hypocotyl 1 [Source:NCBI gene (formerly Entrezgene);Acc:5007942]","FHY1"
"AT2G37680",818345,"glucose-induced degradation-like protein [Source:NCBI gene (formerly Entrezgene);Acc:818345]","AT2G37680"
"AT2G37710",818348,"receptor lectin kinase [Source:NCBI gene (formerly Entrezgene);Acc:818348]","RLK"
"AT2G37740",818351,"zinc-finger protein 10 [Source:NCBI gene (formerly Entrezgene);Acc:818351]","ZFP10"
"AT2G37770",818354,"NAD(P)-linked oxidoreductase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818354]","ChlAKR"
"AT2G37790",818356,"NAD(P)-linked oxidoreductase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818356]","AKR4C10"
"AT2G37840",818361,"Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818361]","AT2G37840"
"AT2G37870",818363,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818363]","AT2G37870"
"AT2G37900",818366,"Major facilitator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818366]","AT2G37900"
"AT2G37940",818371,"Inositol phosphorylceramide synthase 2 [Source:NCBI gene (formerly Entrezgene);Acc:818371]","AtIPCS2"
"AT2G38080",818386,"Laccase/Diphenol oxidase family protein [Source:NCBI gene (formerly Entrezgene);Acc:818386]","IRX12"
"AT2G38120",818390,"Transmembrane amino acid transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:818390]","AUX1"
"AT2G38140",818392,"plastid-specific ribosomal protein 4 [Source:NCBI gene (formerly Entrezgene);Acc:818392]","PSRP4"
"AT2G38185",818397,"RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818397]","APD1"
"AT2G38270",818407,"CAX-interacting protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:818407]","CXIP2"
"AT2G38290",818409,"ammonium transporter 2 [Source:NCBI gene (formerly Entrezgene);Acc:818409]","AMT2"
"AT2G38310",818411,"PYR1-like 4 [Source:NCBI gene (formerly Entrezgene);Acc:818411]","PYL4"
"AT2G38320",818412,"TRICHOME BIREFRINGENCE-LIKE 34 [Source:NCBI gene (formerly Entrezgene);Acc:818412]","TBL34"
"AT2G38330",818413,"MATE efflux family protein [Source:NCBI gene (formerly Entrezgene);Acc:818413]","AT2G38330"
"AT2G38360",818416,"prenylated RAB acceptor 1.B4 [Source:NCBI gene (formerly Entrezgene);Acc:818416]","PRA1.B4"
"AT2G38370",818418,"weak chloroplast movement under blue light protein (DUF827) [Source:NCBI gene (formerly Entrezgene);Acc:818418]","AT2G38370"
"AT2G38410",818422,"ENTH/VHS/GAT family protein [Source:NCBI gene (formerly Entrezgene);Acc:818422]","AT2G38410"
"AT2G38420",818423,"Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818423]","AT2G38420"
"AT2G38440",818425,"SCAR homolog 2 [Source:NCBI gene (formerly Entrezgene);Acc:818425]","SCAR2"
"AT2G38450",818426,"Sel1 repeat protein [Source:NCBI gene (formerly Entrezgene);Acc:818426]","AT2G38450"
"AT2G38460",818427,"iron regulated 1 [Source:NCBI gene (formerly Entrezgene);Acc:818427]","IREG1"
"AT2G38470",818429,"WRKY DNA-binding protein 33 [Source:NCBI gene (formerly Entrezgene);Acc:818429]","WRKY33"
"AT2G38480",818430,"Uncharacterized protein family (UPF0497) [Source:NCBI gene (formerly Entrezgene);Acc:818430]","AT2G38480"
"AT2G38500",818432,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818432]","AT2G38500"
"AT2G38510",818433,"MATE efflux family protein [Source:NCBI gene (formerly Entrezgene);Acc:818433]","AT2G38510"
"AT2G38550",818437,"Transmembrane proteins 14C [Source:NCBI gene (formerly Entrezgene);Acc:818437]","AT2G38550"
"AT2G38570",818439,"","AT2G38570"
"AT2G38660",818448,"Amino acid dehydrogenase family protein [Source:NCBI gene (formerly Entrezgene);Acc:818448]","AT2G38660"
"AT2G38670",818449,"phosphorylethanolamine cytidylyltransferase 1 [Source:NCBI gene (formerly Entrezgene);Acc:818449]","PECT1"
"AT2G38780",818460,"cytochrome C oxidase subunit [Source:NCBI gene (formerly Entrezgene);Acc:818460]","AT2G38780"
"AT2G38820",818464,"DNA-directed RNA polymerase subunit beta-beta protein, putative (DUF506) [Source:NCBI gene (formerly Entrezgene);Acc:818464]","AT2G38820"
"AT2G38830",818467,"Ubiquitin-conjugating enzyme/RWD-like protein [Source:NCBI gene (formerly Entrezgene);Acc:818467]","AT2G38830"
"AT2G38840",818468,"Guanylate-binding family protein [Source:NCBI gene (formerly Entrezgene);Acc:818468]","AT2G38840"
"AT2G38940",818479,"phosphate transporter 1;4 [Source:NCBI gene (formerly Entrezgene);Acc:818479]","PHT1;4"
"AT2G39080",818494,"NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818494]","EMB2799"
"AT2G39090",818495,"tetratricopeptide repeat (TPR)-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:818495]","APC7"
"AT2G39100",818496,"RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818496]","AT2G39100"
"AT2G39700",818553,"expansin A4 [Source:NCBI gene (formerly Entrezgene);Acc:818553]","EXPA4"
"AT2G39730",818558,"rubisco activase [Source:NCBI gene (formerly Entrezgene);Acc:818558]","RCA"
"AT2G39740",818559,"Nucleotidyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:818559]","HESO1"
"AT2G39840",818571,"type one serine/threonine protein phosphatase 4 [Source:NCBI gene (formerly Entrezgene);Acc:818571]","TOPP4"
"AT2G39990",818587,"eukaryotic translation initiation factor 2 [Source:NCBI gene (formerly Entrezgene);Acc:818587]","EIF2"
"AT2G40080",818596,"EARLY FLOWERING-like protein (DUF1313) [Source:NCBI gene (formerly Entrezgene);Acc:818596]","ELF4"
"AT2G40200",818611,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818611]","AT2G40200"
"AT2G40300",818622,"ferritin 4 [Source:NCBI gene (formerly Entrezgene);Acc:818622]","FER4"
"AT2G40400",818633,"DUF399 family protein, putative (DUF399 and DUF3411) [Source:NCBI gene (formerly Entrezgene);Acc:818633]","AT2G40400"
"AT2G40435",818637,"transcription factor SCREAM-like protein [Source:NCBI gene (formerly Entrezgene);Acc:818637]","AT2G40435"
"AT2G40470",818641,"LOB domain-containing protein 15 [Source:NCBI gene (formerly Entrezgene);Acc:818641]","LBD15"
"AT2G40475",818642,"","ASG8"
"AT2G40740",818669,"WRKY DNA-binding protein 55 [Source:NCBI gene (formerly Entrezgene);Acc:818669]","WRKY55"
"AT2G40800",818677,"import inner membrane translocase subunit [Source:NCBI gene (formerly Entrezgene);Acc:818677]","AT2G40800"
"AT2G40830",818680,"RING-H2 finger C1A [Source:NCBI gene (formerly Entrezgene);Acc:818680]","RHC1A"
"AT2G40840",818682,"disproportionating enzyme 2 [Source:NCBI gene (formerly Entrezgene);Acc:818682]","DPE2"
"AT2G40850",818683,"phosphoinositide 4-kinase gamma 1 [Source:NCBI gene (formerly Entrezgene);Acc:818683]","PI4K GAMMA 1"
"AT2G40860",818684,"protein kinase family protein / protein phosphatase 2C (PP2C) family protein [Source:NCBI gene (formerly Entrezgene);Acc:818684]","AT2G40860"
"AT2G40890",818686,"cytochrome P450, family 98, subfamily A, polypeptide 3 [Source:NCBI gene (formerly Entrezgene);Acc:818686]","CYP98A3"
"AT2G40935",818692,"PLAC8 family protein [Source:NCBI gene (formerly Entrezgene);Acc:818692]","AT2G40935"
"AT2G40940",818693,"ethylene response sensor 1 [Source:NCBI gene (formerly Entrezgene);Acc:818693]","ERS1"
"AT2G40980",818698,"Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818698]","AT2G40980"
"AT2G41110",818710,"calmodulin 2 [Source:NCBI gene (formerly Entrezgene);Acc:818710]","CAM2"
"AT2G41140",818713,"CDPK-related kinase 1 [Source:NCBI gene (formerly Entrezgene);Acc:818713]","CRK1"
"AT2G41160",818715,"Ubiquitin-associated (UBA) protein [Source:NCBI gene (formerly Entrezgene);Acc:818715]","AT2G41160"
"AT2G41370",818735,"Ankyrin repeat family protein / BTB/POZ domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:818735]","BOP2"
"AT2G41380",818736,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818736]","AT2G41380"
"AT2G41460",818744,"apurinic endonuclease-redox protein [Source:NCBI gene (formerly Entrezgene);Acc:818744]","ARP"
"AT2G41510",818749,"cytokinin oxidase/dehydrogenase 1 [Source:NCBI gene (formerly Entrezgene);Acc:818749]","CKX1"
"AT2G41530",818751,"S-formylglutathione hydrolase [Source:NCBI gene (formerly Entrezgene);Acc:818751]","SFGH"
"AT2G41600",818758,"Mitochondrial glycoprotein family protein [Source:NCBI gene (formerly Entrezgene);Acc:818758]","AT2G41600"
"AT2G41620",818760,"Nucleoporin interacting component (Nup93/Nic96-like) family protein [Source:NCBI gene (formerly Entrezgene);Acc:818760]","AT2G41620"
"AT2G41670",818765,"P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818765]","AT2G41670"
"AT2G41790",818778,"Insulinase (Peptidase family M16) family protein [Source:NCBI gene (formerly Entrezgene);Acc:818778]","AT2G41790"
"AT2G41820",818781,"Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:818781]","AT2G41820"
"AT2G42070",818807,"nudix hydrolase homolog 23 [Source:NCBI gene (formerly Entrezgene);Acc:818807]","NUDX23"
"AT2G42080",818808,"Chaperone DnaJ-domain superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818808]","AT2G42080"
"AT2G42120",818812,"DNA polymerase delta small subunit [Source:NCBI gene (formerly Entrezgene);Acc:818812]","POLD2"
"AT2G42160",818816,"zinc finger (ubiquitin-hydrolase) domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:818816]","BRIZ1"
"AT2G42360",NA,"","ATL41"
"AT2G42380",818839,"Basic-leucine zipper (bZIP) transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:818839]","BZIP34"
"AT2G42390",818840,"kinase C substrate, heavy chain-like protein [Source:NCBI gene (formerly Entrezgene);Acc:818840]","AT2G42390"
"AT2G42430",818843,"lateral organ boundaries-domain 16 [Source:NCBI gene (formerly Entrezgene);Acc:818843]","LBD16"
"AT2G42450",818845,"alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818845]","AT2G42450"
"AT2G42500",818850,"protein phosphatase 2A-3 [Source:NCBI gene (formerly Entrezgene);Acc:818850]","PP2A-3"
"AT2G42520",818852,"P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818852]","AT2G42520"
"AT2G42560",818856,"late embryosis abundant domain-containing protein / LEA domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:818856]","AT2G42560"
"AT2G42580",818858,"tetratricopetide-repeat thioredoxin-like 3 [Source:NCBI gene (formerly Entrezgene);Acc:818858]","TTL3"
"AT2G42600",818860,"phosphoenolpyruvate carboxylase 2 [Source:NCBI gene (formerly Entrezgene);Acc:818860]","PPC2"
"AT2G42610",818861,"LIGHT-DEPENDENT SHORT HYPOCOTYLS-like protein (DUF640) [Source:NCBI gene (formerly Entrezgene);Acc:818861]","LSH10"
"AT2G42620",818862,"RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818862]","MAX2"
"AT2G42700",818870,"vesicle docking protein [Source:NCBI gene (formerly Entrezgene);Acc:818870]","AT2G42700"
"AT2G42710",818871,"Ribosomal protein L1p/L10e family [Source:NCBI gene (formerly Entrezgene);Acc:818871]","AT2G42710"
"AT2G42730",818873,"F-box/FBD/LRR protein [Source:NCBI gene (formerly Entrezgene);Acc:818873]","AT2G42730"
"AT2G42750",818875,"DNAJ heat shock N-terminal domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:818875]","AT2G42750"
"AT2G42760",818876,"DUF1685 family protein [Source:NCBI gene (formerly Entrezgene);Acc:818876]","AT2G42760"
"AT2G42770",818877,"Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein [Source:NCBI gene (formerly Entrezgene);Acc:818877]","AT2G42770"
"AT2G42840",818884,"protodermal factor 1 [Source:NCBI gene (formerly Entrezgene);Acc:818884]","PDF1"
"AT2G42900",818891,"Plant basic secretory protein (BSP) family protein [Source:NCBI gene (formerly Entrezgene);Acc:818891]","AT2G42900"
"AT2G42940",818895,"Putative AT-hook DNA-binding family protein [Source:NCBI gene (formerly Entrezgene);Acc:818895]","AT2G42940"
"AT2G43000",818902,"NAC domain containing protein 42 [Source:NCBI gene (formerly Entrezgene);Acc:818902]","NAC042"
"AT2G43360",818937,"Radical SAM superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818937]","BIO2"
"AT2G43370",818938,"RNA-binding (RRM/RBD/RNP motifs) family protein [Source:NCBI gene (formerly Entrezgene);Acc:818938]","AT2G43370"
"AT2G43650",818967,"Sas10/U3 ribonucleoprotein (Utp) family protein [Source:NCBI gene (formerly Entrezgene);Acc:818967]","EMB2777"
"AT2G43680",818970,"IQ-domain 14 [Source:NCBI gene (formerly Entrezgene);Acc:818970]","IQD14"
"AT2G43710",818973,"Plant stearoyl-acyl-carrier-protein desaturase family protein [Source:NCBI gene (formerly Entrezgene);Acc:818973]","SSI2"
"AT2G43750",818978,"O-acetylserine (thiol) lyase B [Source:NCBI gene (formerly Entrezgene);Acc:818978]","OASB"
"AT2G43770",818980,"Transducin/WD40 repeat-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818980]","AT2G43770"
"AT2G43945",818999,"","AT2G43945"
"AT2G43980",819003,"inositol 1,3,4-trisphosphate 5/6-kinase 4 [Source:NCBI gene (formerly Entrezgene);Acc:819003]","ITPK4"
"AT2G44110",819017,"Seven transmembrane MLO family protein [Source:NCBI gene (formerly Entrezgene);Acc:819017]","MLO15"
"AT2G44120",819018,"Ribosomal protein L30/L7 family protein [Source:NCBI gene (formerly Entrezgene);Acc:819018]","AT2G44120"
"AT2G44130",819019,"Galactose oxidase/kelch repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:819019]","AT2G44130"
"AT2G44310",NA,"",""
"AT2G44480",819055,"beta glucosidase 17 [Source:NCBI gene (formerly Entrezgene);Acc:819055]","BGLU17"
"AT2G44670",819075,"senescence-associated family protein (DUF581) [Source:NCBI gene (formerly Entrezgene);Acc:819075]","AT2G44670"
"AT2G44820",819091,"axoneme-associated protein MST101(2) protein [Source:NCBI gene (formerly Entrezgene);Acc:819091]","AT2G44820"
"AT2G44870",819096,"replicase polyprotein 1ab protein [Source:NCBI gene (formerly Entrezgene);Acc:819096]","AT2G44870"
"AT2G45010",819109,"PLAC8 family protein [Source:NCBI gene (formerly Entrezgene);Acc:819109]","AT2G45010"
"AT2G45340",819142,"Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:819142]","AT2G45340"
"AT2G45400",819146,"NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:819146]","BEN1"
"AT2G45490",819157,"ataurora3 [Source:NCBI gene (formerly Entrezgene);Acc:819157]","AUR3"
"AT2G45510",819159,"cytochrome P450, family 704, subfamily A, polypeptide 2 [Source:NCBI gene (formerly Entrezgene);Acc:819159]","CYP704A2"
"AT2G45570",819165,"cytochrome P450, family 76, subfamily C, polypeptide 2 [Source:NCBI gene (formerly Entrezgene);Acc:819165]","CYP76C2"
"AT2G45750",819183,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:819183]","AT2G45750"
"AT2G45760",819184,"BON association protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:819184]","BAP2"
"AT2G45820",819190,"Remorin family protein [Source:NCBI gene (formerly Entrezgene);Acc:819190]","AT2G45820"
"AT2G45910",819199,"U-box domain-containing protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:819199]","AT2G45910"
"AT2G45950",819203,"SKP1-like 20 [Source:NCBI gene (formerly Entrezgene);Acc:819203]","SK20"
"AT2G45960",819204,"plasma membrane intrinsic protein 1B [Source:NCBI gene (formerly Entrezgene);Acc:819204]","PIP1B"
"AT2G46110",819219,"ketopantoate hydroxymethyltransferase 1 [Source:NCBI gene (formerly Entrezgene);Acc:819219]","KPHMT1"
"AT2G46150",819222,"Late embryosis abundant (LEA) hydroxyproline-rich glycoprotein family [Source:NCBI gene (formerly Entrezgene);Acc:819222]","AT2G46150"
"AT2G46410",819249,"Homeodomain-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:819249]","CPC"
"AT2G46610",819273,"RNA-binding (RRM/RBD/RNP motifs) family protein [Source:NCBI gene (formerly Entrezgene);Acc:819273]","RS31a"
"AT2G46620",819274,"P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:819274]","AT2G46620"
"AT2G46690",819281,"SAUR-like auxin-responsive protein family [Source:NCBI gene (formerly Entrezgene);Acc:819281]","AT2G46690"
"AT2G46870",819300,"AP2/B3-like transcriptional factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:819300]","NGA1"
"AT2G46900",819303,"transcription factor-like protein [Source:NCBI gene (formerly Entrezgene);Acc:819303]","AT2G46900"
"AT2G46980",819312,"asynaptic protein [Source:NCBI gene (formerly Entrezgene);Acc:819312]","ASY3"
"AT2G47000",819314,"ATP binding cassette subfamily B4 [Source:NCBI gene (formerly Entrezgene);Acc:819314]","ABCB4"
"AT2G47010",819315,"calcium/calcium/calmodulin-dependent Serine/Threonine-kinase [Source:NCBI gene (formerly Entrezgene);Acc:819315]","AT2G47010"
"AT2G47020",819316,"Peptide chain release factor 1 [Source:NCBI gene (formerly Entrezgene);Acc:819316]","AT2G47020"
"AT2G47115",819324,"protein rolling protein [Source:NCBI gene (formerly Entrezgene);Acc:819324]","AT2G47115"
"AT2G47120",819325,"NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:819325]","AT2G47120"
"AT2G47140",819327,"NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:819327]","SDR5"
"AT2G47180",819331,"galactinol synthase 1 [Source:NCBI gene (formerly Entrezgene);Acc:819331]","GolS1"
"AT2G47210",819334,"myb-like transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:819334]","AT2G47210"
