qseqid	sseqid	pident	length	mismatch	evalue	bitscore
104423824	AT5G01320	67.802	323	70	3.92e-146	445
104423825	AT5G43860	57.333	225	91	4.4e-67	229
104423826	AT3G62690	61.972	71	26	1.52e-22	97.4
104423828	AT3G51860	40	100	23	7.62e-22	73.6
104423837	AT5G43860	54.222	225	97	1.29e-70	240
104423838	AT2G29640	63.636	99	33	1.44e-46	131
104423839	AT5G17910	53.521	142	61	1.28e-38	153
104423842	AT5G59580	57.368	190	80	3.72e-76	221
104423843	AT2G29500	74.834	151	28	2.26e-51	178
104423845	AT5G59180	90	60	5	4.83e-27	109
104423847	AT5G43860	61.111	108	41	4.07e-70	145
104423853	AT5G59610	70.213	47	14	9.58e-13	70.9
104423857	AT4G14740	59.155	284	55	2e-34	136
104423858	AT2G28680	77.907	258	57	8.34e-127	379
104423859	AT2G28680	57.391	230	82	4.59e-69	231
104423862	AT3G09520	40.796	603	294	1.77e-138	421
104423863	AT3G09520	39.394	594	319	4.51e-132	405
104423869	AT1G07870	77.931	145	29	6.33e-69	239
104423870	AT5G60100	89.13	46	5	1.66e-35	94.4
104423871	AT1G01560	84.127	126	20	9.26e-65	222
104423872	AT2G46150	28.495	186	122	1.63e-12	64.3
104423873	AT2G46150	27.919	197	130	3.06e-12	63.5
104423874	AT2G46150	28.495	186	122	2.68e-12	63.5
104423879	AT3G28720	67.223	659	203	0	785
104423881	AT5G39980	79.327	624	115	0	1002
104423882	AT5G39970	57.463	268	110	8.57e-97	321
104423888	AT3G01410	54.783	115	26	1.56e-25	109
104423889	AT2G26730	42.021	188	97	2.26e-34	141
104423891	AT3G14860	57.627	59	25	2.08e-31	83.2
104423892	AT5G14870	68	250	65	5.85e-103	346
104423894	AT5G62850	56.098	82	34	2.71e-22	96.7
104423901	AT4G34670	90.769	65	6	7.38e-50	127
104423902	AT5G14780	61.094	329	64	2.12e-116	356
104423904	AT5G14750	82.609	46	8	3.02e-19	87
104423905	AT2G13600	34.963	675	396	1.58e-133	438
104423908	AT3G27540	75	364	91	0	597
104423910	AT3G27540	76.374	364	86	0	612
104423912	AT3G22760	79.688	64	13	2.45e-48	110
104423913	AT5G14345	63.158	57	21	2.4e-20	86.7
104423914	AT1G04945	47.573	103	48	1.09e-18	89.7
104423916	AT3G25990	79.452	73	15	2.3e-44	125
104423922	AT5G40780	85.484	124	17	1.74e-104	197
104423928	AT5G14220	78.723	47	10	9.12e-15	80.5
104423929	AT3G14460	41.784	213	123	4.49e-51	135
104423937	AT3G27160	77.049	61	13	5.02e-24	100
104423938	AT3G07040	24.731	744	458	3.05e-21	101
104423940	AT5G45480	36.182	351	217	8.97e-52	194
104423949	AT3G50930	67.241	116	38	2e-44	172
104423956	AT3G50940	63.492	126	46	9.82e-44	165
104423962	AT5G66320	53.469	245	96	1.13e-57	197
104423965	AT3G50950	26.214	309	199	4.45e-17	86.7
104423967	AT3G07040	25.509	639	386	2.54e-37	153
104423968	AT2G18030	92.308	39	3	3.94e-28	81.3
104423969	AT5G45470	37.313	335	193	1.11e-53	199
104423973	AT5G45480	35.014	357	220	2.64e-46	178
104423975	AT5G08780	57.812	64	26	2.99e-08	59.3
104423977	AT4G36040	67.241	116	31	1.7e-41	143
104423981	AT4G36010	59.406	202	63	2.58e-74	234
104423983	AT4G36010	67.143	140	43	1.83e-79	182
104423985	AT5G66150	83.929	56	9	9.41e-54	101
104423986	AT3G26720	35.795	176	36	1.21e-36	110
104423994	AT1G76070	30.769	273	108	1.05e-11	63.5
104423995	AT5G60060	35	340	192	4.33e-44	157
104424005	AT2G17520	53.896	154	71	3.52e-44	174
104424018	AT3G14180	52.273	88	39	8.87e-32	87.8
104424019	AT4G25960	37.037	270	159	1.47e-108	157
104424020	AT1G72390	45.225	356	166	3.86e-84	216
104424021	AT5G45460	42.254	142	74	3.86e-35	99.4
104424025	AT5G36930	39.873	158	94	1.43e-30	130
104424034	AT1G12210	27.586	522	315	7.01e-37	153
104424035	AT4G23810	50.667	75	32	2.45e-12	70.1
104424046	AT3G24550	73.451	113	30	5.1e-46	179
104424051	AT3G14470	35.651	1021	599	2.78e-158	523
104424052	AT3G24550	71.053	114	33	3.37e-36	149
104424057	AT3G21340	37.698	443	127	4.13e-77	277
104424062	AT4G29990	48.819	127	62	3.07e-32	136
104424063	AT1G51890	42.177	147	39	3.95e-70	109
104424071	AT1G05700	51.316	152	68	4.06e-31	133
104424076	AT1G51805	60	70	28	2.99e-43	96.7
104424099	AT5G45540	29.647	850	402	5.23e-85	289
104424120	AT1G33920	41.732	127	71	1.76e-21	92.4
104424121	AT4G19850	39.831	118	69	1.19e-17	80.9
104424122	AT5G45460	32.979	376	232	4.4e-50	189
104424123	AT5G35390	40.406	443	229	6.35e-116	287
104424124	AT3G47570	46.023	880	453	0	735
104424125	AT3G47570	45.634	607	326	4.16e-138	462
104424129	AT1G54180	73.134	134	35	3.03e-59	209
104424130	AT1G72990	78.261	46	10	3.07e-32	81.6
104424132	AT3G49740	48.697	729	364	0	698
104424133	AT3G14470	36.17	1034	585	2.64e-165	545
104424136	AT2G19190	44.667	150	37	3.7e-68	108
104424137	AT2G28970	33.333	297	91	1.35e-53	132
104424140	AT3G21250	54.769	650	286	0	636
104424143	AT3G21290	67.949	78	25	8.48e-26	118
104424145	AT3G14470	36.255	1004	589	4.33e-169	551
104424147	AT4G29180	43.458	214	77	3.76e-76	189
104424151	AT2G28970	42.053	302	68	8.94e-57	213
104424155	AT2G19190	49.074	108	27	2.38e-78	108
104424156	AT2G28960	49.524	105	52	2.35e-48	107
104424157	AT4G29450	33.471	242	101	2.55e-50	142
104424161	AT3G21340	43.578	218	76	9.65e-76	180
104424162	AT3G22750	55.676	185	25	5.1e-65	174
104424165	AT4G29990	44.318	176	93	1.67e-37	153
104424167	AT2G26490	38.115	244	126	9.06e-46	172
104424168	AT1G15230	56.522	69	28	1.24e-05	43.9
104424169	AT1G52290	76.471	51	11	1.16e-16	82.8
104424172	AT3G24550	71.93	114	32	2e-37	152
104424173	AT3G24550	69.231	117	36	2.98e-36	148
104424174	AT3G24550	74.167	120	28	4.09e-49	188
104424176	AT3G24550	75.439	114	28	2.53e-49	187
104424178	AT1G12663	33.333	78	44	6.18e-09	52
104424180	AT3G22690	57.587	804	330	0	919
104424183	AT1G80440	50.275	364	165	2.09e-115	339
104424185	AT1G15520	36.7	297	118	2.32e-125	186
104424188	AT1G52520	43.427	426	213	1.42e-108	345
104424191	AT4G14790	78.788	66	14	1.3e-25	115
104424200	AT2G19070	50.752	266	129	1.38e-92	297
104424202	AT3G22620	65.957	94	30	2.89e-20	89.7
104424203	AT5G16780	87.671	73	9	2.27e-32	137
104424204	AT2G29120	46.389	457	225	7.89e-129	405
104424205	AT4G19950	21.708	281	204	5.39e-06	48.1
104424210	AT3G21180	37.879	132	31	1.42e-23	81.3
104424212	AT4G23160	37.566	189	118	2.97e-31	137
104424215	AT1G27170	36.872	179	110	8.49e-31	100
104424219	AT3G22600	72.84	81	22	1.4e-18	84.3
104424227	AT3G14470	37.293	665	375	1.57e-112	385
104424230	AT1G65420	72.436	156	40	7.63e-59	197
104424232	AT5G24380	59.147	563	136	0	575
104424233	AT5G24400	64.844	128	45	2.78e-51	181
104424239	AT5G38250	48.442	353	166	1.31e-97	321
104424241	AT5G53730	55.708	219	91	4.51e-70	218
104424245	AT5G54150	43.836	73	27	9.25e-10	58.2
104424247	AT3G49490	49.057	53	27	3.56e-08	58.2
104424248	AT5G54140	60.432	139	55	2.21e-47	176
104424250	AT5G54130	69.333	75	20	2.09e-67	105
104424251	AT4G10450	82.576	132	23	5.37e-73	233
104424252	AT5G24600	71.098	173	44	2.01e-70	210
104424255	AT1G27320	51.327	113	29	1.83e-23	108
104424259	AT5G50970	69.919	123	36	3.43e-52	193
104424260	AT5G61910	83.333	48	8	1.77e-38	98.6
104424261	AT1G64990	59.204	201	23	2.62e-49	184
104424262	AT1G64970	49.545	220	42	3.83e-66	202
104424263	AT5G35980	45.326	353	132	1.77e-46	183
104424264	AT5G43940	31.63	411	175	1.02e-33	135
104424265	AT5G42250	49.587	121	58	5.32e-23	103
104424267	AT1G65020	44.348	115	26	4.26e-27	94.7
104424268	AT5G16650	44.444	108	10	7.61e-16	75.5
104424269	AT3G02940	76.829	82	19	2.9e-37	142
104424270	AT5G64260	38.801	317	151	1.45e-71	230
104424271	AT5G16800	51.773	141	39	1.11e-38	146
104424272	AT5G16810	61.905	84	29	4.17e-34	112
104424273	AT3G14460	32.107	299	149	4.86e-13	76.3
104424274	AT5G16840	69.863	146	44	2.86e-44	161
104424275	AT5G16880	73.099	171	46	1e-83	270
104424276	AT5G16890	92.453	53	4	1.96e-45	113
104424277	AT3G03050	89.696	592	57	0	1088
104424278	AT1G65060	76.282	156	37	1.49e-105	204
104424280	AT1G08580	42.593	108	31	2.09e-19	84.7
104424281	AT3G03100	60	120	20	8.52e-39	142
104424282	AT3G16090	82.584	178	31	1.24e-85	290
104424283	AT4G02260	63.636	33	12	0.000202	48.1
104424284	AT1G80490	61.594	138	16	1.04e-62	163
104424285	AT3G03140	33.71	442	243	3.6e-42	167
104424286	AT2G04940	85.366	41	6	1.54e-15	82.4
104424288	AT5G17170	95	40	2	3.65e-18	85.5
104424290	AT5G17170	89.286	28	3	6.19e-11	55.1
104424291	AT5G17210	56.436	101	36	5.38e-26	105
104424293	AT5G17165	42.553	94	41	1.18e-10	59.7
104424294	AT5G42310	34.769	325	212	1.31e-57	214
104424298	AT1G34150	72.34	47	12	1.74e-11	68.2
104424300	AT2G44870	66.304	92	31	3.43e-23	100
104424301	AT2G36740	60.784	102	5	2.15e-24	105
104424302	AT5G05000	61.957	92	35	4.51e-34	133
104424303	AT4G25100	76.562	64	15	4.32e-26	107
104424304	AT4G25100	74.627	67	17	2.57e-28	113
104424305	AT2G32040	47.253	91	41	4.6e-12	68.9
104424306	AT1G28710	54.386	171	66	1.06e-51	185
104424307	AT4G33550	33.962	53	35	3.33e-06	46.2
104424310	AT4G25120	56.41	117	20	2.51e-79	127
104424312	AT5G07475	60.938	64	25	3.55e-14	70.9
104424314	AT5G51190	53.476	187	71	5.75e-45	157
104424315	AT5G51180	45.732	164	48	6.85e-32	130
104424316	AT5G51220	53.425	146	25	4.79e-41	151
104424317	AT5G07620	62.5	200	66	4.85e-76	253
104424318	AT5G51290	45.926	135	54	4.58e-24	110
104424319	AT5G61530	58.571	140	31	7e-50	153
104424321	AT3G55830	51.562	128	59	4.15e-38	146
104424322	AT5G62190	54.237	118	21	1.95e-48	131
104424323	AT5G51720	97.059	34	1	3.6e-16	75.5
104424325	AT5G62230	63.37	273	60	7.31e-94	328
104424326	AT5G51680	53.731	67	23	6.46e-13	70.1
104424327	AT5G51690	63.121	282	104	4.43e-127	385
104424329	AT5G51660	58.209	268	104	1.71e-82	301
104424330	AT5G51640	74.444	270	66	2.45e-143	440
104424331	AT5G62250	38.71	248	84	2.34e-61	143
104424332	AT4G00200	57.812	64	26	1.75e-14	76.6
104424333	AT5G51570	89.167	120	13	5.24e-54	191
104424335	AT5G62290	85.366	41	6	1.09e-29	77
104424336	AT5G51550	56.442	326	122	4.32e-96	299
104424337	AT4G25290	76.404	89	21	1.83e-36	150
104424338	AT5G51540	56.204	137	29	1.51e-38	156
104424339	AT4G12350	88.636	88	10	1.01e-48	170
104424340	AT5G62360	51.25	160	75	3.65e-47	157
104424341	AT5G62360	61.818	165	61	1.11e-68	214
104424343	AT4G12420	77.419	124	28	1.28e-53	199
104424344	AT5G51450	54.887	133	27	3.1e-54	112
104424347	AT3G47420	66.276	341	100	5.08e-138	429
104424348	AT3G47430	67.811	233	67	2.96e-103	303
104424349	AT2G45010	73.864	88	22	2.44e-34	131
104424351	AT5G61480	68.009	422	125	0	592
104424352	AT4G25170	33.721	86	55	2.45e-06	51.6
104424353	AT4G25180	40.541	74	38	3.21e-12	52
104424354	AT5G51300	80.961	541	94	0	823
104424355	AT5G61500	57.851	121	24	6.21e-56	108
104424356	AT1G65680	50.909	110	53	1.8e-44	127
104424357	AT5G04620	78.75	80	17	4.8e-34	135
104424358	AT5G61520	62.817	355	130	6.97e-142	432
104424359	AT5G61520	60.504	357	137	1.06e-141	433
104424360	AT4G25390	54.48	558	188	9.45e-165	492
104424361	AT4G25410	42.742	124	66	1.26e-24	82.4
104424363	AT5G51810	48.554	484	134	3.7e-146	431
104424364	AT5G51820	42.537	134	13	5.73e-41	95.5
104424365	AT1G29320	74.545	55	14	2.7e-18	91.3
104424367	AT5G51840	49.524	105	10	2.27e-18	86.3
104424379	AT5G62165	80.328	61	12	1.78e-26	107
104424380	AT5G51920	56.555	389	158	3.85e-127	390
104424381	AT4G25433	52.83	106	46	2e-34	122
104424382	AT5G51970	84.694	98	15	2.86e-47	174
104424383	AT1G12580	72.081	197	55	7.52e-127	303
104424384	AT5G62140	54.091	220	60	2.26e-48	164
104424385	AT5G62130	54.688	192	49	6.38e-68	229
104424388	AT5G52030	62.295	122	45	1.88e-30	125
104424389	AT2G46610	60.714	84	30	6.63e-33	105
104424390	AT4G23030	68.094	467	148	0	540
104424392	AT5G52060	79.31	87	18	7.76e-43	147
104424393	AT5G52110	41.538	130	24	5.02e-19	73.6
104424394	AT5G62090	75.676	74	18	5.22e-37	119
104424395	AT5G52120	62.595	131	49	5.47e-54	190
104424396	AT2G45750	58.738	206	44	2.21e-149	248
104424397	AT3G61150	60.769	130	46	1.7e-90	171
104424398	AT4G33495	76.01	396	89	0	619
104424399	AT5G07270	57.143	189	72	4.18e-56	205
104424400	AT5G62040	75.362	69	17	1.65e-26	107
104424401	AT5G62020	48.062	129	53	1.19e-29	107
104424402	AT5G52180	59.875	319	112	9.28e-108	309
104424404	AT5G52200	80.488	41	8	3.24e-15	75.9
104424405	AT5G52220	67.347	49	16	1.47e-15	74.3
104424406	AT5G52230	30.769	169	68	5.7e-08	58.9
104424407	AT3G48890	72.816	103	28	2.46e-41	152
104424408	AT3G48900	37.561	205	37	2.63e-26	116
104424409	AT4G25540	64.11	326	86	8.31e-100	349
104424410	AT3G48920	69.388	49	15	6.09e-25	80.1
104424411	AT3G48920	75.556	45	11	2.74e-16	79.3
104424412	AT5G52270	58.065	62	25	9.18e-16	77.8
104424413	AT2G45820	75.51	49	12	1.32e-16	79.3
104424415	AT5G52290	38.967	213	112	8.39e-22	99.4
104424416	AT5G23760	83.871	31	5	1.94e-09	55.1
104424417	AT5G23760	83.871	31	5	7.09e-10	56.2
104424418	AT5G23860	99.515	206	1	1.86e-140	435
104424419	AT5G52390	65.354	127	44	1.39e-52	175
104424421	AT5G52390	65.354	127	44	1.07e-52	175
104424422	AT5G52390	60.265	151	57	1.35e-54	179
104424423	AT5G52390	61.379	145	54	8.39e-55	180
104424424	AT3G49000	52.727	55	24	7.34e-22	63.9
104424427	AT5G23880	53.039	181	29	4.86e-38	155
104424428	AT2G37600	89.552	67	7	2.58e-30	115
104424429	AT5G23910	55.405	74	31	1.59e-61	83.6
104424431	AT2G45950	71.681	113	7	1.62e-39	151
104424433	AT1G02260	62.348	494	105	0	555
104424434	AT5G52440	43.299	97	35	1.59e-12	70.1
104424435	AT5G23940	64.686	303	100	2.41e-127	405
104424436	AT5G23950	52.857	140	64	2.21e-39	145
104424437	AT5G23950	51.553	161	72	1.57e-33	127
104424438	AT3G49080	77.632	152	34	7.41e-75	254
104424439	AT5G52470	86.154	65	9	4.99e-49	120
104424440	AT3G14190	42.254	71	36	2.27e-05	46.6
104424441	AT3G14470	36.842	418	241	1.45e-114	217
104424442	AT5G52540	82.569	109	19	1.18e-38	151
104424443	AT5G52545	54.545	99	13	3.18e-36	104
104424444	AT5G24010	62.299	809	292	0	1008
104424445	AT4G25660	76.842	95	22	2.61e-47	171
104424446	AT5G52640	89.251	521	55	0	822
104424447	AT5G52790	44.521	146	35	3.46e-47	105
104424449	AT4G23630	60.656	61	24	1.48e-31	90.5
104424450	AT3G13230	83.77	191	31	2.73e-121	349
104424451	AT5G52880	39.623	106	37	2.97e-09	59.7
104424452	AT5G52882	70.27	333	22	5.25e-136	449
104424453	AT5G24030	72.626	179	49	1.13e-80	250
104424454	AT4G30030	42.373	354	196	1.1e-86	271
104424455	AT5G52900	44.206	233	114	7.2e-33	125
104424456	AT3G22540	70.33	91	21	1.54e-36	127
104424457	AT5G24090	70.073	274	82	8.19e-137	394
104424458	AT5G24090	69.708	274	83	1.34e-145	414
104424459	AT5G24090	70.438	274	81	1.37e-136	393
104424460	AT5G52950	32.929	577	308	3.04e-73	242
104424461	AT5G52960	78.788	66	14	1.53e-29	116
104424462	AT5G53340	50.602	83	14	3.07e-18	89
104424464	AT5G53320	47.304	408	198	8.93e-158	341
104424465	AT5G53300	85.185	54	8	1.93e-24	100
104424466	AT1G05440	38.144	194	115	5.99e-28	117
104424467	AT4G27950	47.581	248	93	9.01e-49	178
104424470	AT3G05680	63.333	120	43	5.33e-45	147
104424471	AT5G17680	42.005	369	205	2.62e-67	253
104424474	AT5G53220	56.41	78	33	2.16e-22	101
104424475	AT4G14820	62.614	329	117	1.34e-138	429
104424477	AT2G20540	39.37	508	301	2.43e-118	387
104424479	AT4G11070	80.952	42	8	4.39e-15	77
104424480	AT2G30424	54.902	51	20	7.18e-09	53.1
104424481	AT5G53180	95.161	62	3	1.01e-52	132
104424482	AT4G14930	50	62	30	1.51e-10	66.2
104424483	AT1G78090	67.925	53	17	3.24e-33	80.9
104424484	AT3G49170	46.78	295	138	2.51e-93	262
104424485	AT3G49170	37.872	235	108	1.1e-57	137
104424486	AT5G38240	47.385	325	150	1.38e-89	305
104424489	AT5G38280	51.064	235	111	2.25e-84	264
104424490	AT3G49170	46.13	323	161	2.77e-93	271
104424493	AT5G38280	49.839	311	150	3.3e-91	313
104424494	AT5G38280	49.839	311	150	6.12e-92	313
104424496	AT5G38280	47.159	176	85	1.18e-82	181
104424498	AT5G53420	43.75	176	83	9.78e-36	135
104424499	AT1G03130	91.667	120	10	5.56e-74	230
104424500	AT5G53390	54.872	195	83	6.89e-54	197
104424502	AT5G53370	82.143	224	40	1.77e-126	405
104424503	AT5G24240	61.184	456	155	4.43e-180	546
104424504	AT5G24260	68.367	392	118	4.45e-177	550
104424507	AT4G14950	82.178	101	18	2.81e-48	177
104424509	AT5G24270	36.81	163	22	8.72e-31	94
104424510	AT3G49240	66.592	449	150	0	592
104424511	AT5G53350	46.923	130	5	2.3e-33	102
104424512	AT4G00990	43.678	261	118	6.56e-57	214
104424513	AT5G26340	78.39	236	46	7.56e-137	362
104424514	AT5G24300	80.46	87	17	5.51e-36	148
104424515	AT4G27840	35.231	281	154	5.75e-41	147
104424516	AT1G31330	66.379	232	64	2.64e-87	264
104424517	AT5G24310	57.143	119	11	3.01e-32	127
104424518	AT5G53045	78.125	32	7	4.4e-09	54.7
104424519	AT3G05980	43.265	245	102	4.26e-39	140
104424520	AT5G53050	58.442	77	22	4.78e-19	65.9
104424521	AT5G53050	63.333	60	22	8.43e-18	86.7
104424522	AT5G53060	66.81	232	63	2.25e-65	234
104424523	AT5G24314	74.107	112	29	4.48e-53	182
104424525	AT4G27780	71.429	98	25	1.15e-27	114
104424527	AT5G53490	85.714	84	12	8.5e-43	156
104424528	AT4G10810	60.317	63	22	1.45e-16	73.2
104424529	AT5G19330	56.098	41	18	2.09e-05	50.4
104424530	AT4G24060	78.125	64	14	3.37e-29	119
104424531	AT4G27750	80.556	72	14	1.16e-34	124
104424532	AT2G13600	35.598	677	383	5.67e-142	442
104424533	AT4G27745	86.842	76	10	9.13e-39	139
104424534	AT4G27700	45.455	165	37	6.32e-31	95.1
104424535	AT5G53530	91.803	61	5	2.37e-29	120
104424536	AT2G46620	63.58	162	56	4.15e-135	213
104424537	AT5G53550	76.378	254	60	1.63e-161	399
104424538	AT5G24400	62.821	156	56	5.32e-59	201
104424543	AT3G24315	51.136	88	34	2.56e-21	80.1
104424544	AT2G46690	60	100	33	3.44e-34	120
104424545	AT2G41140	81.633	98	18	1.86e-49	180
104424548	AT4G27670	74.074	135	30	8.08e-64	208
104424549	AT5G03890	25.967	181	99	0.00031	42
104424550	AT4G10610	56.436	101	16	4.61e-25	109
104424551	AT5G24510	73.171	41	11	2.3e-17	67.4
104424552	AT1G64720	57.432	148	57	5.86e-45	168
104424553	AT5G24500	33.6	250	135	5.63e-17	84
104424555	AT1G21240	45.988	324	160	6.77e-75	267
104424557	AT5G54180	58.824	408	167	3.25e-162	476
104424558	AT5G38280	48.358	335	161	1.02e-103	320
104424559	AT5G54180	58.333	408	169	1.18e-147	473
104424563	AT5G38240	48.986	345	156	5.15e-103	337
104424565	AT5G19310	86.341	205	27	5.33e-111	375
104424566	AT5G24530	75.676	111	27	3.71e-43	162
104424569	AT3G49490	49.057	53	27	8.95e-08	58.2
104424570	AT5G24580	66.129	62	21	3.57e-18	87
104424572	AT1G18010	80.702	285	55	2.94e-146	407
104424577	AT5G19260	31.064	235	107	4.3e-18	84.3
104424578	AT1G04635	45.455	110	15	1.18e-34	88.6
104424579	AT5G24610	74.83	147	32	9.58e-65	215
104424580	AT5G24620	58.484	277	76	1.68e-89	282
104424581	AT5G24650	79.487	39	8	5.65e-13	71.2
104424587	AT3G06035	76.19	84	20	2.84e-53	142
104424594	AT5G38240	46.832	363	168	5.43e-93	304
104424595	AT4G18250	44.693	358	171	3.38e-97	311
104424598	AT3G05290	68.478	92	28	4.23e-32	129
104424599	AT4G18250	48.515	202	89	1.15e-72	182
104424605	AT1G28200	59	100	40	1.73e-32	127
104424606	AT3G62010	72.396	192	51	4.28e-98	281
104424607	AT5G20090	89.796	49	5	1.57e-25	97.4
104424608	AT1G27680	43.182	220	34	3.83e-61	151
104424609	AT5G66460	47.895	190	69	4.13e-65	196
104424610	AT4G01650	75	60	15	5.84e-25	105
104424611	AT3G62040	46.903	226	32	2.25e-50	177
104424612	AT1G09540	28.371	356	169	5.94e-46	112
104424613	AT2G46980	32.919	322	197	2.99e-31	131
104424614	AT4G01690	73.585	106	28	1.34e-42	166
104424615	AT3G62100	62.5	48	18	2.78e-14	71.2
104424616	AT3G62110	62.869	237	79	8.64e-87	292
104424617	AT3G62120	61.611	211	40	1.2e-74	231
104424618	AT4G01810	82.149	605	108	0	1033
104424619	AT5G38240	47.48	377	166	5.18e-99	327
104424621	AT3G62130	68.506	435	134	0	649
104424622	AT2G47000	49.002	451	172	2.19e-167	364
104424623	AT1G72050	36.462	277	86	5.87e-42	157
104424624	AT2G47000	81.143	175	33	5.67e-123	280
104424625	AT4G01830	52.941	340	74	4.69e-153	342
104424626	AT5G19220	39.683	126	19	5.67e-65	76.6
104424627	AT3G62150	47.222	432	159	0	326
104424628	AT4G01840	67.958	284	80	4e-113	352
104424629	AT2G47010	74.566	173	44	2.81e-86	287
104424630	AT2G47020	89.062	64	7	8.11e-37	120
104424631	AT3G62190	38.235	102	27	1.66e-12	65.9
104424632	AT3G62200	35.294	306	147	3.59e-42	166
104424634	AT4G14220	74.194	62	14	2.05e-18	89.4
104424635	AT1G02500	94.67	394	21	0	746
104424636	AT4G01860	43.333	210	94	5.64e-31	135
104424637	AT3G15580	82.927	41	7	8.29e-25	74.7
104424638	AT3G62240	60.331	121	37	5.09e-83	168
104424639	AT3G17380	34.884	172	76	8.39e-29	102
104424640	AT3G17380	38.788	165	67	1e-24	107
104424641	AT5G12420	30.732	205	132	1.61e-18	91.3
104424642	AT3G17380	33.333	177	82	1.29e-30	106
104424645	AT3G06050	73.846	65	16	2.23e-25	105
104424647	AT3G17380	35	200	97	1.31e-32	119
104424650	AT5G35790	87.143	70	9	3.91e-77	135
104424651	AT2G05250	48.768	203	93	6.35e-52	169
104424653	AT5G35740	70.33	91	26	3.69e-40	144
104424654	AT1G22970	53.191	235	102	4e-65	222
104424656	AT5G65560	35.453	849	536	1.22e-159	516
104424658	AT3G07760	82.857	70	12	5.17e-33	124
104424659	AT2G05160	49.488	293	115	3.14e-70	245
104424660	AT3G06060	75.342	146	36	6.22e-70	196
104424661	AT3G07790	74.946	463	106	0	633
104424662	AT3G07810	55.83	446	158	1.3e-107	354
104424663	AT2G04850	69.845	388	113	0	560
104424664	AT2G04845	69.841	63	19	1.13e-23	100
104424665	AT5G48750	42.703	185	100	1.51e-40	150
104424666	AT5G35732	46.429	112	44	5.53e-19	75.5
104424667	AT3G07870	48.598	428	196	3.28e-136	402
104424668	AT2G04790	46.269	67	34	3.99e-15	74.7
104424669	AT3G06060	71.895	153	43	1.73e-71	200
104424675	AT3G01340	77.228	303	68	4.44e-176	501
104424676	AT5G14680	82.5	40	7	5.87e-29	76.3
104424682	AT2G04780	64.362	188	67	2.24e-70	231
104424683	AT2G04750	64.368	87	25	3.33e-75	112
104424684	AT2G04740	68.127	251	73	2.45e-107	347
104424686	AT2G44310	47.059	136	70	4.46e-38	130
104424687	AT1G04950	55	100	16	4.63e-25	113
104424692	AT2G44310	48.515	101	50	2.05e-27	101
104424697	AT1G04970	66.372	113	37	2.19e-41	160
104424698	AT4G29090	35.47	234	140	4.07e-40	131
104424699	AT2G04530	76.136	88	21	1.47e-27	116
104424700	AT3G48730	84.034	357	57	0	600
104424701	AT2G04540	72.5	80	22	5.08e-30	126
104424702	AT2G04550	79.268	82	14	2.26e-39	145
104424703	AT5G35690	53.535	99	13	5e-33	114
104424705	AT2G04560	74.684	79	20	5.58e-30	126
104424706	AT1G04985	57.971	69	27	9.92e-17	79
104424707	AT5G19190	80	30	5	4.53e-07	50.1
104424708	AT1G04980	77.586	58	13	3.4e-41	98.6
104424709	AT3G15210	79.661	59	12	1.1e-15	76.6
104424710	AT2G32940	44.355	248	77	3.79e-164	164
104424711	AT2G27040	40.909	176	52	2.86e-89	118
104424712	AT2G32950	63.91	133	46	1.13e-43	170
104424713	AT1G05010	89.011	91	10	4.28e-78	179
104424714	AT1G05010	64.683	252	48	1.64e-130	315
104424717	AT1G05010	82.301	113	20	3.88e-118	202
104424718	AT1G12010	61.789	246	50	4.66e-118	303
104424721	AT1G12010	61.789	246	50	3.94e-120	312
104424722	AT4G03965	39.091	220	88	1.07e-26	108
104424723	AT2G31340	61.233	227	83	1e-74	262
104424724	AT5G19160	77.099	131	30	6.32e-67	231
104424725	AT5G55160	88.462	52	6	1.92e-26	99.8
104424726	AT2G32970	53.988	326	130	4.01e-84	289
104424727	AT2G32980	52.885	208	46	1.6e-46	170
104424728	AT2G05760	52.174	115	25	4.4e-37	129
104424729	AT1G05030	53.285	137	24	1.18e-40	134
104424730	AT5G19150	59.048	105	19	1e-30	126
104424732	AT3G62010	72.917	192	51	3.5e-101	290
104424733	AT2G32990	70	220	65	3.45e-97	325
104424734	AT3G21670	68.551	283	81	5.76e-89	302
104424735	AT1G12000	45.902	183	28	8.45e-44	154
104424736	AT4G22140	87.826	115	14	6.73e-64	216
104424737	AT2G32650	70.833	144	38	1.87e-52	174
104424738	AT5G04800	87.879	132	15	5.68e-77	234
104424739	AT4G15430	82.812	128	16	2.65e-56	212
104424740	AT3G21610	44.67	197	15	1.32e-39	143
104424741	AT1G62305	63.077	65	18	3.22e-15	79.7
104424742	AT4G15440	57.045	291	85	4.36e-94	310
104424743	AT2G32540	59.664	119	48	1.2e-61	160
104424744	AT2G32530	54.701	117	53	4.09e-57	146
104424745	AT1G05087	51.376	109	51	5.47e-24	104
104424746	AT5G19140	61.818	110	42	5.04e-37	139
104424749	AT4G15320	35.685	241	86	2.72e-46	142
104424750	AT2G32520	82.609	69	12	1.78e-29	118
104424751	AT1G62300	40.556	180	86	2.44e-49	106
104424752	AT1G11910	49.107	112	25	1.49e-47	97.8
104424753	AT1G05100	51.974	304	126	8.94e-98	300
104424755	AT1G05120	53.383	266	92	1.2e-63	236
104424756	AT5G38000	43.878	98	22	1.04e-15	80.5
104424757	AT5G38000	37.313	134	46	3.21e-16	82
